OPTION CODE,LAND USE CODE,DESCRIPTION,,
CIGL2,AC01,BARLEY - SPRING,,
CIGL2,AC02,BASIL ,,
CIGL2,AC03,BEET ,,
CIGL2,AC04,BORAGE ,,
CIGL2,AC05,BUCKWHEAT ,,
CIGL2,AC06,CANARY SEED ,,
CIGL2,AC07,CARROT ,,
CIGL2,AC08,CELERY ,,
CIGL2,AC09,CHICORY ,,
CIGL2,AC10,DAFFODIL ,,
CIGL2,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
CIGL2,AC11,DILL ,,
CIGL2,AC12,EVENING PRIMROSE ,,
CIGL2,AC13,FENNEL ,,
CIGL2,AC14,HEMP ,,
CIGL2,AC15,LETTUCE ,,
CIGL2,AC16,LINSEED - SPRING,,
CIGL2,AC17,MAIZE ,,
CIGL2,AC18,MILLET ,,
CIGL2,AC19,OATS - SPRING,,
CIGL2,AC20,ONIONS ,,
CIGL2,AC21,OREGANO ,,
CIGL2,AC22,PARSLEY ,,
CIGL2,AC23,PARSNIPS ,,
CIGL2,AC24,RYE - SPRING,,
CIGL2,AC25,SAGE ,,
CIGL2,AC26,SPINACH ,,
CIGL2,AC27,STRAWBERRY ,,
CIGL2,AC28,SWEET POTATO ,,
CIGL2,AC29,THYME ,,
CIGL2,AC30,TRITICALE - SPRING,,
CIGL2,AC31,TULIP ,,
CIGL2,AC32,WHEAT - SPRING,,
CIGL2,AC33,YAM ,,
CIGL2,AC34,CABBAGE - SPRING,,
CIGL2,AC35,TURNIP ,,
CIGL2,AC36,OILSEED - SPRING,,
CIGL2,AC37,BROWN MUSTARD ,,
CIGL2,AC38,MUSTARD ,,
CIGL2,AC39,CRAMBE ,,
CIGL2,AC40,ROCKET ,,
CIGL2,AC41,RADISH ,,
CIGL2,AC42,HORSERADISH ,,
CIGL2,AC43,TOBACCO ,,
CIGL2,AC44,POTATO ,,
CIGL2,AC45,TOMATO ,,
CIGL2,AC46,AUBERGINE ,,
CIGL2,AC47,PEPPER ,,
CIGL2,AC48,CHILLI ,,
CIGL2,AC49,TREE CHILLI ,,
CIGL2,AC50,SQUASH ,,
CIGL2,AC51,JAPANESE PIE SQUASH ,,
CIGL2,AC52,SIAM PUMPKIN ,,
CIGL2,AC53,BANANA SQUASH ,,
CIGL2,AC54,BUTTERNUT SQUASH ,,
CIGL2,AC55,WATER MELON ,,
CIGL2,AC56,CUCUMBER ,,
CIGL2,AC57,MELON ,,
CIGL2,AC58,MIXED CROP - GROUP 1,,
CIGL2,AC59,MIXED CROP - GROUP 2,,
CIGL2,AC60,MIXED CROP - GROUP 3,,
CIGL2,AC61,MIXED CROP - GROUP 4,,
CIGL2,AC62,MIXED CROP - GROUP 5,,
CIGL2,AC63,BARLEY - WINTER,,
CIGL2,AC64,LINSEED - WINTER,,
CIGL2,AC65,OATS - WINTER,,
CIGL2,AC66,WHEAT - WINTER,,
CIGL2,AC67,OILSEED - WINTER,,
CIGL2,AC68,RYE - WINTER,,
CIGL2,AC69,TRITICALE - WINTER,,
CIGL2,AC70,CABBAGE - WINTER,,
CIGL2,AC71,CORIANDER,,
CIGL2,AC72,CORN GROMWELL,,
CIGL2,AC73,CAMELINA,,
CIGL2,AC74,PHACELIA,,
CIGL2,AC75,OCA,,
CIGL2,AC76,GERMAN CHAMOMILE,,
CIGL2,AC77,CORN CHAMOMILE,,
CIGL2,AC78,CORN COCKLE,,
CIGL2,AC79,CORN FLOWER,,
CIGL2,AC80,CORN MARIGOLD,,
CIGL2,AC81,POPPY,,
CIGL2,AC82,FIELD FOR-GET-ME-NOT,,
CIGL2,AC83,FOX-GLOVE,,
CIGL2,AC84,HAY RATTLE,,
CIGL2,AC85,HEDGE BEDSTRAW,,
CIGL2,AC86,TEASEL,,
CIGL2,AC87,QUINOA,,
CIGL2,AC88,SUNFLOWER,,
CIGL2,AC89,CRESS,,
CIGL2,AC90,GLADIOLI,,
CIGL2,AC91,ECHIUM,,
CIGL2,AC92,SORGHUM,,
CIGL2,AC93,STICKY NIGHTSHADE,,
CIGL2,AC94,SWEET WILLIAMS,,
CIGL2,AC95,WALLFLOWER,,
CIGL2,AC96,SAMPHIRE,,
CIGL2,AC97,ASTER (CHINESE),,
CIGL2,AC98,LARKSPUR,,
CIGL2,AC99,NIGELLA,,
CIGL2,CW01,WATERCRESS,,
CIGL2,FA01,FALLOW,,
CIGL2,LG01,CHICKPEA,,
CIGL2,LG02,FENUGREEK,,
CIGL2,LG03,FIELD BEANS - SPRING,,
CIGL2,LG04,GREEN BEANS,,
CIGL2,LG05,LENTILS,,
CIGL2,LG06,LUPINS,,
CIGL2,LG07,PEAS - SPRING,,
CIGL2,LG08,SOYA,,
CIGL2,LG09,COWPEA,,
CIGL2,LG10,BIRD'S FOOT TREFOIL,,
CIGL2,LG11,LUCERNE,,
CIGL2,LG12,SWEET CLOVER,,
CIGL2,LG13,SAINFOIN,,
CIGL2,LG14,CLOVER,,
CIGL2,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
CIGL2,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
CIGL2,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
CIGL2,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
CIGL2,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
CIGL2,LG20,FIELD BEANS - WINTER,,
CIGL2,LG21,PEAS - WINTER,,
CIGL2,PG01,PERMANENT GRASSLAND,,
CIGL2,TG01,TEMPORARY GRASS,,
CIGL3,AC01,BARLEY - SPRING,,
CIGL3,AC02,BASIL ,,
CIGL3,AC03,BEET ,,
CIGL3,AC04,BORAGE ,,
CIGL3,AC05,BUCKWHEAT ,,
CIGL3,AC06,CANARY SEED ,,
CIGL3,AC07,CARROT ,,
CIGL3,AC08,CELERY ,,
CIGL3,AC09,CHICORY ,,
CIGL3,AC10,DAFFODIL ,,
CIGL3,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
CIGL3,AC11,DILL ,,
CIGL3,AC12,EVENING PRIMROSE ,,
CIGL3,AC13,FENNEL ,,
CIGL3,AC14,HEMP ,,
CIGL3,AC15,LETTUCE ,,
CIGL3,AC16,LINSEED - SPRING,,
CIGL3,AC17,MAIZE ,,
CIGL3,AC18,MILLET ,,
CIGL3,AC19,OATS - SPRING,,
CIGL3,AC20,ONIONS ,,
CIGL3,AC21,OREGANO ,,
CIGL3,AC22,PARSLEY ,,
CIGL3,AC23,PARSNIPS ,,
CIGL3,AC24,RYE - SPRING,,
CIGL3,AC25,SAGE ,,
CIGL3,AC26,SPINACH ,,
CIGL3,AC27,STRAWBERRY ,,
CIGL3,AC28,SWEET POTATO ,,
CIGL3,AC29,THYME ,,
CIGL3,AC30,TRITICALE - SPRING,,
CIGL3,AC31,TULIP ,,
CIGL3,AC32,WHEAT - SPRING,,
CIGL3,AC33,YAM ,,
CIGL3,AC34,CABBAGE - SPRING,,
CIGL3,AC35,TURNIP ,,
CIGL3,AC36,OILSEED - SPRING,,
CIGL3,AC37,BROWN MUSTARD ,,
CIGL3,AC38,MUSTARD ,,
CIGL3,AC39,CRAMBE ,,
CIGL3,AC40,ROCKET ,,
CIGL3,AC41,RADISH ,,
CIGL3,AC42,HORSERADISH ,,
CIGL3,AC43,TOBACCO ,,
CIGL3,AC44,POTATO ,,
CIGL3,AC45,TOMATO ,,
CIGL3,AC46,AUBERGINE ,,
CIGL3,AC47,PEPPER ,,
CIGL3,AC48,CHILLI ,,
CIGL3,AC49,TREE CHILLI ,,
CIGL3,AC50,SQUASH ,,
CIGL3,AC51,JAPANESE PIE SQUASH ,,
CIGL3,AC52,SIAM PUMPKIN ,,
CIGL3,AC53,BANANA SQUASH ,,
CIGL3,AC54,BUTTERNUT SQUASH ,,
CIGL3,AC55,WATER MELON ,,
CIGL3,AC56,CUCUMBER ,,
CIGL3,AC57,MELON ,,
CIGL3,AC58,MIXED CROP - GROUP 1,,
CIGL3,AC59,MIXED CROP - GROUP 2,,
CIGL3,AC60,MIXED CROP - GROUP 3,,
CIGL3,AC61,MIXED CROP - GROUP 4,,
CIGL3,AC62,MIXED CROP - GROUP 5,,
CIGL3,AC63,BARLEY - WINTER,,
CIGL3,AC64,LINSEED - WINTER,,
CIGL3,AC65,OATS - WINTER,,
CIGL3,AC66,WHEAT - WINTER,,
CIGL3,AC67,OILSEED - WINTER,,
CIGL3,AC68,RYE - WINTER,,
CIGL3,AC69,TRITICALE - WINTER,,
CIGL3,AC70,CABBAGE - WINTER,,
CIGL3,AC71,CORIANDER,,
CIGL3,AC72,CORN GROMWELL,,
CIGL3,AC73,CAMELINA,,
CIGL3,AC74,PHACELIA,,
CIGL3,AC75,OCA,,
CIGL3,AC76,GERMAN CHAMOMILE,,
CIGL3,AC77,CORN CHAMOMILE,,
CIGL3,AC78,CORN COCKLE,,
CIGL3,AC79,CORN FLOWER,,
CIGL3,AC80,CORN MARIGOLD,,
CIGL3,AC81,POPPY,,
CIGL3,AC82,FIELD FOR-GET-ME-NOT,,
CIGL3,AC83,FOX-GLOVE,,
CIGL3,AC84,HAY RATTLE,,
CIGL3,AC85,HEDGE BEDSTRAW,,
CIGL3,AC86,TEASEL,,
CIGL3,AC87,QUINOA,,
CIGL3,AC88,SUNFLOWER,,
CIGL3,AC89,CRESS,,
CIGL3,AC90,GLADIOLI,,
CIGL3,AC91,ECHIUM,,
CIGL3,AC92,SORGHUM,,
CIGL3,AC93,STICKY NIGHTSHADE,,
CIGL3,AC94,SWEET WILLIAMS,,
CIGL3,AC95,WALLFLOWER,,
CIGL3,AC96,SAMPHIRE,,
CIGL3,AC97,ASTER (CHINESE),,
CIGL3,AC98,LARKSPUR,,
CIGL3,AC99,NIGELLA,,
CIGL3,CW01,WATERCRESS,,
CIGL3,FA01,FALLOW,,
CIGL3,LG01,CHICKPEA,,
CIGL3,LG02,FENUGREEK,,
CIGL3,LG03,FIELD BEANS - SPRING,,
CIGL3,LG04,GREEN BEANS,,
CIGL3,LG05,LENTILS,,
CIGL3,LG06,LUPINS,,
CIGL3,LG07,PEAS - SPRING,,
CIGL3,LG08,SOYA,,
CIGL3,LG09,COWPEA,,
CIGL3,LG10,BIRD'S FOOT TREFOIL,,
CIGL3,LG11,LUCERNE,,
CIGL3,LG12,SWEET CLOVER,,
CIGL3,LG13,SAINFOIN,,
CIGL3,LG14,CLOVER,,
CIGL3,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
CIGL3,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
CIGL3,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
CIGL3,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
CIGL3,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
CIGL3,LG20,FIELD BEANS - WINTER,,
CIGL3,LG21,PEAS - WINTER,,
CIGL3,PG01,PERMANENT GRASSLAND,,
CIGL3,TG01,TEMPORARY GRASS,,
CIPM1,AB01,FARM BUILDING,,
CIPM1,AB06,GLASSHOUSE ,,
CIPM1,AB09,FARMYARDS,,
CIPM1,AC01,BARLEY - SPRING,,
CIPM1,AC02,BASIL ,,
CIPM1,AC03,BEET ,,
CIPM1,AC04,BORAGE ,,
CIPM1,AC05,BUCKWHEAT ,,
CIPM1,AC06,CANARY SEED ,,
CIPM1,AC07,CARROT ,,
CIPM1,AC08,CELERY ,,
CIPM1,AC09,CHICORY ,,
CIPM1,AC10,DAFFODIL ,,
CIPM1,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
CIPM1,AC11,DILL ,,
CIPM1,AC12,EVENING PRIMROSE ,,
CIPM1,AC13,FENNEL ,,
CIPM1,AC14,HEMP ,,
CIPM1,AC15,LETTUCE ,,
CIPM1,AC16,LINSEED - SPRING,,
CIPM1,AC17,MAIZE ,,
CIPM1,AC18,MILLET ,,
CIPM1,AC19,OATS - SPRING,,
CIPM1,AC20,ONIONS ,,
CIPM1,AC21,OREGANO ,,
CIPM1,AC22,PARSLEY ,,
CIPM1,AC23,PARSNIPS ,,
CIPM1,AC24,RYE - SPRING,,
CIPM1,AC25,SAGE ,,
CIPM1,AC26,SPINACH ,,
CIPM1,AC27,STRAWBERRY ,,
CIPM1,AC28,SWEET POTATO ,,
CIPM1,AC29,THYME ,,
CIPM1,AC30,TRITICALE - SPRING,,
CIPM1,AC31,TULIP ,,
CIPM1,AC32,WHEAT - SPRING,,
CIPM1,AC33,YAM ,,
CIPM1,AC34,CABBAGE - SPRING,,
CIPM1,AC35,TURNIP ,,
CIPM1,AC36,OILSEED - SPRING,,
CIPM1,AC37,BROWN MUSTARD ,,
CIPM1,AC38,MUSTARD ,,
CIPM1,AC39,CRAMBE ,,
CIPM1,AC40,ROCKET ,,
CIPM1,AC41,RADISH ,,
CIPM1,AC42,HORSERADISH ,,
CIPM1,AC43,TOBACCO ,,
CIPM1,AC44,POTATO ,,
CIPM1,AC45,TOMATO ,,
CIPM1,AC46,AUBERGINE ,,
CIPM1,AC47,PEPPER ,,
CIPM1,AC48,CHILLI ,,
CIPM1,AC49,TREE CHILLI ,,
CIPM1,AC50,SQUASH ,,
CIPM1,AC51,JAPANESE PIE SQUASH ,,
CIPM1,AC52,SIAM PUMPKIN ,,
CIPM1,AC53,BANANA SQUASH ,,
CIPM1,AC54,BUTTERNUT SQUASH ,,
CIPM1,AC55,WATER MELON ,,
CIPM1,AC56,CUCUMBER ,,
CIPM1,AC57,MELON ,,
CIPM1,AC58,MIXED CROP - GROUP 1,,
CIPM1,AC59,MIXED CROP - GROUP 2,,
CIPM1,AC60,MIXED CROP - GROUP 3,,
CIPM1,AC61,MIXED CROP - GROUP 4,,
CIPM1,AC62,MIXED CROP - GROUP 5,,
CIPM1,AC63,BARLEY - WINTER,,
CIPM1,AC64,LINSEED - WINTER,,
CIPM1,AC65,OATS - WINTER,,
CIPM1,AC66,WHEAT - WINTER,,
CIPM1,AC67,OILSEED - WINTER,,
CIPM1,AC68,RYE - WINTER,,
CIPM1,AC69,TRITICALE - WINTER,,
CIPM1,AC70,CABBAGE - WINTER,,
CIPM1,AC71,CORIANDER,,
CIPM1,AC72,CORN GROMWELL,,
CIPM1,AC73,CAMELINA,,
CIPM1,AC74,PHACELIA,,
CIPM1,AC75,OCA,,
CIPM1,AC76,GERMAN CHAMOMILE,,
CIPM1,AC77,CORN CHAMOMILE,,
CIPM1,AC78,CORN COCKLE,,
CIPM1,AC79,CORN FLOWER,,
CIPM1,AC80,CORN MARIGOLD,,
CIPM1,AC81,POPPY,,
CIPM1,AC82,FIELD FOR-GET-ME-NOT,,
CIPM1,AC83,FOX-GLOVE,,
CIPM1,AC84,HAY RATTLE,,
CIPM1,AC85,HEDGE BEDSTRAW,,
CIPM1,AC86,TEASEL,,
CIPM1,AC87,QUINOA,,
CIPM1,AC88,SUNFLOWER,,
CIPM1,AC89,CRESS,,
CIPM1,AC90,GLADIOLI,,
CIPM1,AC91,ECHIUM,,
CIPM1,AC92,SORGHUM,,
CIPM1,AC93,STICKY NIGHTSHADE,,
CIPM1,AC94,SWEET WILLIAMS,,
CIPM1,AC95,WALLFLOWER,,
CIPM1,AC96,SAMPHIRE,,
CIPM1,AC97,ASTER (CHINESE),,
CIPM1,AC98,LARKSPUR,,
CIPM1,AC99,NIGELLA,,
CIPM1,BB01,SHORT STONE WALL,,
CIPM1,CF01,CLIFFS,,
CIPM1,CF02,VEGETATED SHINGLE,,
CIPM1,CF03,SAND DUNES,,
CIPM1,CM01,PEAT PRODUCTION,,
CIPM1,CM02,TURF PRODUCTION,,
CIPM1,CW01,WATERCRESS,,
CIPM1,FA01,FALLOW,,
CIPM1,HE02,HEATH LAND AND BRACKEN - UNGRAZEABLE,,
CIPM1,HE03,HEAP - PERMANENT USE,,
CIPM1,HS01,HARD STANDINGS,,
CIPM1,IW02,RIVERS AND STREAMS TYPE 2,,
CIPM1,IW03,RIVERS AND STREAMS TYPE 3,,
CIPM1,IW05,SHINGLE,,
CIPM1,IW06,FEN MARSH & SWAMP,,
CIPM1,IW07,BOG,,
CIPM1,LG01,CHICKPEA,,
CIPM1,LG02,FENUGREEK,,
CIPM1,LG03,FIELD BEANS - SPRING,,
CIPM1,LG04,GREEN BEANS,,
CIPM1,LG05,LENTILS,,
CIPM1,LG06,LUPINS,,
CIPM1,LG07,PEAS - SPRING,,
CIPM1,LG08,SOYA,,
CIPM1,LG09,COWPEA,,
CIPM1,LG10,BIRD'S FOOT TREFOIL,,
CIPM1,LG11,LUCERNE,,
CIPM1,LG12,SWEET CLOVER,,
CIPM1,LG13,SAINFOIN,,
CIPM1,LG14,CLOVER,,
CIPM1,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
CIPM1,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
CIPM1,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
CIPM1,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
CIPM1,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
CIPM1,LG20,FIELD BEANS - WINTER,,
CIPM1,LG21,PEAS - WINTER,,
CIPM1,MS04,MINERAL EXTRACTION SITE,,
CIPM1,MT01,METALLED TRACK - PERMISSIVE ACCESS,,
CIPM1,MT03,ROADS,,
CIPM1,MT04,RAILWAY,,
CIPM1,MT05,AIRSTRIP/AIRPORTS,,
CIPM1,MW01,SALT MARSH - UNGRAZEABLE,,
CIPM1,MW02,TIDAL AREAS ,,
CIPM1,MW03,REED BEDS,,
CIPM1,MW04,INTERTIDAL HABITATS,,
CIPM1,MW05,SALINE HABITATS,,
CIPM1,NA02,TEMPORARY NON-AGRICULTURAL AREA,,
CIPM1,NF01,SCATTERED ROCK,,
CIPM1,NF02,SCATTERED BRACKEN,,
CIPM1,NF03,SCATTERED SCRUB,,
CIPM1,NF05,SCATTERED WATER FEATURES,,
CIPM1,NF06,SCATTERED NATURAL FEATURES,,
CIPM1,NF07,SCATTERED MANMADE FEATURES,,
CIPM1,NF08,SCATTERED FEATURES - MIXED,,
CIPM1,NR01,"RESIDENTIAL DWELLING, HOUSE",,
CIPM1,NT01,GALLOP - GRASS,,
CIPM1,NT03,TRACK - NATURAL SURFACE,,
CIPM1,NU01,NURSERY CROPS,,
CIPM1,PG01,PERMANENT GRASSLAND,,
CIPM1,PL01,NON-UTILISED BANK,,
CIPM1,RL03,SPORTS AND RECREATION,,
CIPM1,RL04,GOLF COURSE ,,
CIPM1,RO02,SCREE,,
CIPM1,RO03,BOULDERS,,
CIPM1,RO04,ROCKY OUTCROP,,
CIPM1,SA02,STORAGE AREA,,
CIPM1,SR01,SHORT ROTATION COPPICE,,
CIPM1,ST05,STRUCTURE,,
CIPM1,TC01,PERENNIAL CROPS,,
CIPM1,TG01,TEMPORARY GRASS,,
CIPM1,UT01,SOLAR PANEL ON NON-AGRICULTURAL LAND,,
CIPM1,UT06,OTHER UTILITY,,
CIPM1,UT07,WATERWORKS,,
CIPM1,WF01,DRAIN/DITCH/DYKE,,
CIPM1,WF03,POND,,
CIPM1,WO12,MIXED WOODLAND,,
CIPM1,WO17,RESIDENTIAL GARDENS,,
CIPM1,WO25,SCRUB - UNGRAZEABLE,,
CIPM2,AC01,BARLEY - SPRING,,
CIPM2,AC02,BASIL ,,
CIPM2,AC03,BEET ,,
CIPM2,AC04,BORAGE ,,
CIPM2,AC05,BUCKWHEAT ,,
CIPM2,AC06,CANARY SEED ,,
CIPM2,AC07,CARROT ,,
CIPM2,AC08,CELERY ,,
CIPM2,AC09,CHICORY ,,
CIPM2,AC10,DAFFODIL ,,
CIPM2,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
CIPM2,AC11,DILL ,,
CIPM2,AC12,EVENING PRIMROSE ,,
CIPM2,AC13,FENNEL ,,
CIPM2,AC14,HEMP ,,
CIPM2,AC15,LETTUCE ,,
CIPM2,AC16,LINSEED - SPRING,,
CIPM2,AC17,MAIZE ,,
CIPM2,AC18,MILLET ,,
CIPM2,AC19,OATS - SPRING,,
CIPM2,AC20,ONIONS ,,
CIPM2,AC21,OREGANO ,,
CIPM2,AC22,PARSLEY ,,
CIPM2,AC23,PARSNIPS ,,
CIPM2,AC24,RYE - SPRING,,
CIPM2,AC25,SAGE ,,
CIPM2,AC26,SPINACH ,,
CIPM2,AC27,STRAWBERRY ,,
CIPM2,AC28,SWEET POTATO ,,
CIPM2,AC29,THYME ,,
CIPM2,AC30,TRITICALE - SPRING,,
CIPM2,AC31,TULIP ,,
CIPM2,AC32,WHEAT - SPRING,,
CIPM2,AC33,YAM ,,
CIPM2,AC34,CABBAGE - SPRING,,
CIPM2,AC35,TURNIP ,,
CIPM2,AC36,OILSEED - SPRING,,
CIPM2,AC37,BROWN MUSTARD ,,
CIPM2,AC38,MUSTARD ,,
CIPM2,AC39,CRAMBE ,,
CIPM2,AC40,ROCKET ,,
CIPM2,AC41,RADISH ,,
CIPM2,AC42,HORSERADISH ,,
CIPM2,AC43,TOBACCO ,,
CIPM2,AC44,POTATO ,,
CIPM2,AC45,TOMATO ,,
CIPM2,AC46,AUBERGINE ,,
CIPM2,AC47,PEPPER ,,
CIPM2,AC48,CHILLI ,,
CIPM2,AC49,TREE CHILLI ,,
CIPM2,AC50,SQUASH ,,
CIPM2,AC51,JAPANESE PIE SQUASH ,,
CIPM2,AC52,SIAM PUMPKIN ,,
CIPM2,AC53,BANANA SQUASH ,,
CIPM2,AC54,BUTTERNUT SQUASH ,,
CIPM2,AC55,WATER MELON ,,
CIPM2,AC56,CUCUMBER ,,
CIPM2,AC57,MELON ,,
CIPM2,AC58,MIXED CROP - GROUP 1,,
CIPM2,AC59,MIXED CROP - GROUP 2,,
CIPM2,AC60,MIXED CROP - GROUP 3,,
CIPM2,AC61,MIXED CROP - GROUP 4,,
CIPM2,AC62,MIXED CROP - GROUP 5,,
CIPM2,AC63,BARLEY - WINTER,,
CIPM2,AC64,LINSEED - WINTER,,
CIPM2,AC65,OATS - WINTER,,
CIPM2,AC66,WHEAT - WINTER,,
CIPM2,AC67,OILSEED - WINTER,,
CIPM2,AC68,RYE - WINTER,,
CIPM2,AC69,TRITICALE - WINTER,,
CIPM2,AC70,CABBAGE - WINTER,,
CIPM2,AC71,CORIANDER,,
CIPM2,AC72,CORN GROMWELL,,
CIPM2,AC73,CAMELINA,,
CIPM2,AC74,PHACELIA,,
CIPM2,AC75,OCA,,
CIPM2,AC76,GERMAN CHAMOMILE,,
CIPM2,AC77,CORN CHAMOMILE,,
CIPM2,AC78,CORN COCKLE,,
CIPM2,AC79,CORN FLOWER,,
CIPM2,AC80,CORN MARIGOLD,,
CIPM2,AC81,POPPY,,
CIPM2,AC82,FIELD FOR-GET-ME-NOT,,
CIPM2,AC83,FOX-GLOVE,,
CIPM2,AC84,HAY RATTLE,,
CIPM2,AC85,HEDGE BEDSTRAW,,
CIPM2,AC86,TEASEL,,
CIPM2,AC87,QUINOA,,
CIPM2,AC88,SUNFLOWER,,
CIPM2,AC89,CRESS,,
CIPM2,AC90,GLADIOLI,,
CIPM2,AC91,ECHIUM,,
CIPM2,AC92,SORGHUM,,
CIPM2,AC93,STICKY NIGHTSHADE,,
CIPM2,AC94,SWEET WILLIAMS,,
CIPM2,AC95,WALLFLOWER,,
CIPM2,AC96,SAMPHIRE,,
CIPM2,AC97,ASTER (CHINESE),,
CIPM2,AC98,LARKSPUR,,
CIPM2,AC99,NIGELLA,,
CIPM2,CW01,WATERCRESS,,
CIPM2,FA01,FALLOW,,
CIPM2,LG01,CHICKPEA,,
CIPM2,LG02,FENUGREEK,,
CIPM2,LG03,FIELD BEANS - SPRING,,
CIPM2,LG04,GREEN BEANS,,
CIPM2,LG05,LENTILS,,
CIPM2,LG06,LUPINS,,
CIPM2,LG07,PEAS - SPRING,,
CIPM2,LG08,SOYA,,
CIPM2,LG09,COWPEA,,
CIPM2,LG10,BIRD'S FOOT TREFOIL,,
CIPM2,LG11,LUCERNE,,
CIPM2,LG12,SWEET CLOVER,,
CIPM2,LG13,SAINFOIN,,
CIPM2,LG14,CLOVER,,
CIPM2,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
CIPM2,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
CIPM2,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
CIPM2,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
CIPM2,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
CIPM2,LG20,FIELD BEANS - WINTER,,
CIPM2,LG21,PEAS - WINTER,,
CIPM2,NU01,NURSERY CROPS,,
CIPM2,SR01,SHORT ROTATION COPPICE,,
CIPM2,TC01,PERENNIAL CROPS,,
CIPM2,TG01,TEMPORARY GRASS,,
CIPM3,AC01,BARLEY - SPRING,,
CIPM3,AC02,BASIL ,,
CIPM3,AC03,BEET ,,
CIPM3,AC04,BORAGE ,,
CIPM3,AC05,BUCKWHEAT ,,
CIPM3,AC06,CANARY SEED ,,
CIPM3,AC07,CARROT ,,
CIPM3,AC08,CELERY ,,
CIPM3,AC09,CHICORY ,,
CIPM3,AC10,DAFFODIL ,,
CIPM3,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
CIPM3,AC11,DILL ,,
CIPM3,AC12,EVENING PRIMROSE ,,
CIPM3,AC13,FENNEL ,,
CIPM3,AC14,HEMP ,,
CIPM3,AC15,LETTUCE ,,
CIPM3,AC16,LINSEED - SPRING,,
CIPM3,AC17,MAIZE ,,
CIPM3,AC18,MILLET ,,
CIPM3,AC19,OATS - SPRING,,
CIPM3,AC20,ONIONS ,,
CIPM3,AC21,OREGANO ,,
CIPM3,AC22,PARSLEY ,,
CIPM3,AC23,PARSNIPS ,,
CIPM3,AC24,RYE - SPRING,,
CIPM3,AC25,SAGE ,,
CIPM3,AC26,SPINACH ,,
CIPM3,AC27,STRAWBERRY ,,
CIPM3,AC28,SWEET POTATO ,,
CIPM3,AC29,THYME ,,
CIPM3,AC30,TRITICALE - SPRING,,
CIPM3,AC31,TULIP ,,
CIPM3,AC32,WHEAT - SPRING,,
CIPM3,AC33,YAM ,,
CIPM3,AC34,CABBAGE - SPRING,,
CIPM3,AC35,TURNIP ,,
CIPM3,AC36,OILSEED - SPRING,,
CIPM3,AC37,BROWN MUSTARD ,,
CIPM3,AC38,MUSTARD ,,
CIPM3,AC39,CRAMBE ,,
CIPM3,AC40,ROCKET ,,
CIPM3,AC41,RADISH ,,
CIPM3,AC42,HORSERADISH ,,
CIPM3,AC43,TOBACCO ,,
CIPM3,AC44,POTATO ,,
CIPM3,AC45,TOMATO ,,
CIPM3,AC46,AUBERGINE ,,
CIPM3,AC47,PEPPER ,,
CIPM3,AC48,CHILLI ,,
CIPM3,AC49,TREE CHILLI ,,
CIPM3,AC50,SQUASH ,,
CIPM3,AC51,JAPANESE PIE SQUASH ,,
CIPM3,AC52,SIAM PUMPKIN ,,
CIPM3,AC53,BANANA SQUASH ,,
CIPM3,AC54,BUTTERNUT SQUASH ,,
CIPM3,AC55,WATER MELON ,,
CIPM3,AC56,CUCUMBER ,,
CIPM3,AC57,MELON ,,
CIPM3,AC58,MIXED CROP - GROUP 1,,
CIPM3,AC59,MIXED CROP - GROUP 2,,
CIPM3,AC60,MIXED CROP - GROUP 3,,
CIPM3,AC61,MIXED CROP - GROUP 4,,
CIPM3,AC62,MIXED CROP - GROUP 5,,
CIPM3,AC63,BARLEY - WINTER,,
CIPM3,AC64,LINSEED - WINTER,,
CIPM3,AC65,OATS - WINTER,,
CIPM3,AC66,WHEAT - WINTER,,
CIPM3,AC67,OILSEED - WINTER,,
CIPM3,AC68,RYE - WINTER,,
CIPM3,AC69,TRITICALE - WINTER,,
CIPM3,AC70,CABBAGE - WINTER,,
CIPM3,AC71,CORIANDER,,
