SBI,SCHEME,ORD_SURVEY,NG_NUMBER,AGREEMENT_REF,OPTION_CODE,OPTION_START_DATE,OPTION_END_DATE,OPTION_QUANTITY,UNIT_OF_MEASURE
120583203,CS,SD7693,8651,1647082,SP6,1/1/24 0:00,12/31/28 0:00,12.6114,Hectares
200778286,CS,SD9419,512,1643273,BN14,1/1/24 0:00,12/31/26 0:00,50,Metres
113438450,CS,NY8224,3160,1635734,UP6,1/1/24 0:00,12/31/28 0:00,11.25,Hectares
113438450,CS,NY8421,1359,1635734,UP6,1/1/24 0:00,12/31/28 0:00,56.3969,Hectares
200683998,SFI23,SD5861,3501,1658637,MOR1,3/1/24 0:00,2/28/27 0:00,37.5999,Hectares
106778436,CS,SD9661,2145,1652429,SP6,1/1/24 0:00,12/31/28 0:00,23.9541,Hectares
106635319,CS,SD8558,2469,1648140,UP2,1/1/24 0:00,12/31/28 0:00,13.6145,Hectares
106770508,SFI23,SE1205,2241,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,0.5909,Hectares
111050507,SFI23,NY6649,928,1677303,MOR1,1/1/24 0:00,12/31/26 0:00,32.6878,Hectares
106770508,CS,SE1601,1831,1695051,BN13,3/1/24 0:00,2/28/27 0:00,520,Metres
106499713,SFI23,NY7058,6802,1692925,MOR1,5/1/24 0:00,4/30/27 0:00,26.8573,Hectares
106451432,SFI23,NY6148,1088,1713655,MOR1,4/1/24 0:00,3/31/27 0:00,48.4498,Hectares
106533043,SFI23,NY9248,1171,1719241,MOR1,4/1/24 0:00,3/31/27 0:00,301.0625,Hectares
118719326,SFI23,SE0400,3719,1701809,MOR1,5/1/24 0:00,4/30/27 0:00,445.6983,Hectares
122352139,SFI23,SD8827,7772,1782927,MOR1,6/1/24 0:00,5/31/27 0:00,14.3469,Hectares
106416520,SFI Expanded Offer,SK0374,7478,1933988,UPL3,11/1/24 0:00,10/31/27 0:00,0.3079,Hectares
106388742,SFI Expanded Offer,SK0260,1732,1894745,UPL7,10/1/24 0:00,9/30/27 0:00,1.3256,Hectares
106770508,SFI Expanded Offer,SE1205,1640,1956820,UPL10,2/1/25 0:00,1/31/28 0:00,0.4908,Hectares
106770508,SFI Expanded Offer,SE1703,496,1956820,BND1,2/1/25 0:00,1/31/28 0:00,168,Metres
106770508,SFI Expanded Offer,SE1603,8094,1956820,UPL7,2/1/25 0:00,1/31/28 0:00,11.5797,Hectares
106798759,SFI Expanded Offer,SE0905,8148,1939789,UPL8,4/1/25 0:00,3/31/28 0:00,1.2306,Hectares
106468590,SFI Expanded Offer,NY7500,7635,1956751,CMOR1,2/1/25 0:00,1/31/28 0:00,3.6488,Hectares
106498687,SFI Expanded Offer,SD7422,2053,1978163,UPL7,4/1/25 0:00,3/31/28 0:00,1.808,Hectares
106308119,SFI Expanded Offer,SK1981,4716,1959883,UPL1,3/1/25 0:00,2/29/28 0:00,8.587,Hectares
106320912,SFI Expanded Offer,SD8827,5695,1998537,UPL7,3/1/25 0:00,2/29/28 0:00,1.6052,Hectares
106762757,CS,NY8835,9090,1779216,BN13,5/1/25 0:00,4/30/28 0:00,238,Metres
201032505,SFI Expanded Offer,SD9361,2942,2179166,UPL8,10/1/25 0:00,9/30/28 0:00,2.7525,Hectares
201029679,SFI Expanded Offer,SE0909,8799,2177791,CHRW2,10/1/25 0:00,9/30/28 0:00,131,Metres
106323049,SFI Expanded Offer,SD7059,8814,2008144,UPL10,5/1/25 0:00,4/30/28 0:00,3.932,Hectares
106323049,SFI Expanded Offer,SD7259,709,2008144,BND1,5/1/25 0:00,4/30/28 0:00,574,Metres
106427932,SFI Expanded Offer,SD6649,7230,2013031,CMOR1,5/1/25 0:00,4/30/28 0:00,6.6248,Hectares
106505403,CS,SD7246,9177,990435,SP8,1/1/21 0:00,12/31/25 0:00,10.2238,Hectares
106296729,CS,NY7685,6037,1229656,GS13,1/1/22 0:00,12/31/26 0:00,0.9,Hectares
106247455,CS,NY7348,7873,1425321,UP3,1/1/23 0:00,12/31/32 0:00,177.4868,Hectares
106247455,CS,NY7347,2755,1425321,WD12,1/1/23 0:00,12/31/32 0:00,18.8839,Hectares
107089274,CS,NY8442,9361,1422600,UP2,1/1/23 0:00,12/31/27 0:00,11.1023,Hectares
107161433,CS,SD6162,7227,1423344,UP3,1/1/23 0:00,12/31/32 0:00,14.5497,Hectares
106323049,CS,SD7056,6284,1449271,SP6,1/1/23 0:00,12/31/27 0:00,14.2432,Hectares
106451432,CS,NY6147,6291,1450878,UP2,1/1/23 0:00,12/31/27 0:00,25.5105,Hectares
106451432,CS,NY6148,4045,1450878,UP6,1/1/23 0:00,12/31/27 0:00,11,Hectares
106509964,CS,SE0260,7767,1462251,UP2,1/1/23 0:00,12/31/27 0:00,4.7719,Hectares
106549611,CS,NZ0234,7007,1460858,SP3,1/1/23 0:00,12/31/27 0:00,3,Hectares
106311944,CS,NY6842,4399,1629481,UP2,1/1/24 0:00,12/31/28 0:00,16.2327,Hectares
106204421,CS,SD5361,6352,1626247,FG2,1/1/24 0:00,12/31/26 0:00,101,Metres
107168236,CS,SD6721,4135,1629923,BN12,1/1/24 0:00,12/31/26 0:00,30,Metres
106251704,CS,NY8006,2955,1635893,WD9,1/1/24 0:00,12/31/28 0:00,0.9547,Hectares
200778286,CS,SD9319,7905,1643273,BN14,1/1/24 0:00,12/31/26 0:00,40,Metres
200778286,CS,SD9319,6514,1643273,SP6,1/1/24 0:00,12/31/28 0:00,2.4977,Hectares
